#,Path,Page,Auth,Role,Notes,Pass/Fail,Tester,Date
1,/,Home (Discover),Public,All,Default feed,,,
2,/?section=learn,Home (Learn section),Public,All,section=learn query,,,
3,/?category=Music,Home filtered by category,Public,All,Replace Music with real category name,,,
4,/teach,Requests / Teach,Public,All,Student requests board,,,
5,/login,Login,Public,Guest,,,,
6,/register,Register,Public,Guest,,,,
7,/forget,Forgot password,Public,Guest,,,,
8,/send-message,Recovery email sent,Public,Guest,After forget password,,,
9,/verify-email,Verify email notice,Public,Guest,After register,,,
10,/mail-verify/:token,Email verify by token,Public,Guest,Use real token from email,,,
11,/new-password/:token,Create new password,Public,Guest,Use real reset token,,,
12,/privacy-policy,Privacy Policy,Public,All,,,,
13,/terms-of-service,Terms of Service,Public,All,,,,
14,/cookie-policy,Cookie Policy,Public,All,,,,
15,/legal-notice,Legal Notice,Public,All,,,,
16,/lesson-booking/:id,Lesson booking detail,Public,All,Use real lesson id,,,
17,/curriculum-booking/:id,Curriculum booking detail,Public,All,Use real curriculum id,,,
18,/curriculum-lesson/:id,Curriculum lesson detail,Public,All,Use real curriculum/lesson id,,,
19,/user-profile/:id,Public profile (student view),Public,All,"Student tabs: Upcoming, Bookmarks",,,
20,/user-profile/:id?role=teacher,Public profile (teacher),Public,All,"Teacher tabs: Lesson, Curriculum",,,
21,/profile,Profile (default tab),Private,Logged in,Student → Student Dashboard; Teacher → Revenue,,,
22,/profile?tab=Bookmarks,Profile Bookmarks alias,Private,Logged in,Maps to My Bookmarks,,,
23,/edit-profile,Edit profile,Private,Logged in,,,,
24,/chat,Chat list,Private,Logged in,,,,
25,/chat/:id,Chat room,Private,Logged in,Use real chat room id,,,
26,/withdraw-request,Withdrawal / Stripe payout,Private,Teacher mainly,,,,
27,/profile?tab=Student%20Dashboard,Student Dashboard,Private,Student,,,,
28,/profile?tab=My%20Bookmarks,My Bookmarks,Private,Student,,,,
29,/profile?tab=My%20Profile,My Profile,Private,Student,,,,
30,/profile?tab=My%20Requests,My Requests,Private,Student,,,,
31,/profile?tab=Upcoming,Upcoming bookings,Private,Student,,,,
32,/profile?tab=Unscheduled,Unscheduled bookings,Private,Student,,,,
33,/profile?tab=Canceled,Canceled bookings,Private,Student,,,,
34,/profile?tab=Revenue,Revenue,Private,Teacher,,,,
35,/profile?tab=My%20Bookmarks,My Bookmarks (teacher),Private,Teacher,,,,
36,/profile?tab=My%20Lessons,My Lessons,Private,Teacher,,,,
37,/profile?tab=My%20Profile,My Profile (teacher),Private,Teacher,,,,
38,/profile?tab=My%20Availability%20Calendar,My Availability Calendar,Private,Teacher,,,,
39,/profile?tab=My%20Requests,My Requests (teacher),Private,Teacher,,,,
40,/profile?tab=My%20Curriculum,My Curriculum,Private,Teacher,,,,
41,/profile?tab=My%20Schedule,My Schedule,Private,Teacher,,,,
42,/create-lesson,Create lesson,Private,Teacher,May redirect to withdraw if no Stripe,,,
43,/update-lesson/:id,Update lesson,Private,Teacher,Use own lesson id,,,
44,/create-curriculum,Create curriculum,Private,Teacher,May redirect to withdraw if no Stripe,,,
45,/edit-curriculum/:id,Edit curriculum,Private,Teacher,Use own curriculum id,,,
46,/manage-lesson/:id,Manage lesson calendar,Private,Teacher,Lesson calendar management,,,
47,/manage-lesson/:id?curiid=:curriculumId,Manage lesson (curriculum context),Private,Teacher,curiid query,,,
48,/manage-lesson/:id?group=true,Manage group lesson,Private,Teacher,group=true query,,,
49,/manage-lesson/:id?curiid=:curriculumId&group=true,Manage group lesson + curriculum,Private,Teacher,Both queries,,,
50,/lesson-payment/:id,Lesson payment,Private,Student,Use bookable lesson id,,,
51,/curriculum-payment/:id,Curriculum payment,Private,Student,Use curriculum id,,,
52,/after-payment,After lesson payment,Private,Student,Usually redirected from Stripe,,,
53,/after-payment-curri/:bookId,After curriculum payment,Private,Student,Use real booking id,,,
54,/payment-cancel/:bookId,Payment cancelled,Private,Student,Use real booking id,,,
